,0,1,2,3,4,5,6,7
0,0.446715733,51.5123443,0.446743964,51.50971599,0.447407297,51.44795779,0.461369054,50.14807833
1,0.465049325,49.85180589,0.46506117,49.85070199,0.468671822,49.51422702,0.47371644,49.04412143
2,0.456943087,50.56793138,0.456920955,50.56999224,0.463416436,49.96515133,0.463416436,49.96515133
3,0.457475151,50.50302302,0.457533974,50.49754727,0.455735589,50.66495689,0.455735589,50.66495689
4,0.465455625,49.75301516,0.465454443,49.75312517,0.465718947,49.72850628,0.465718947,49.72850628
5,0.455840922,50.68043735,0.455842802,50.68026227,0.451957833,51.04209018,0.451957833,51.04209018
6,0.448223258,51.4800157,0.448221601,51.48017025,0.447776838,51.521666,0.462299302,50.16674004
7,0.449425357,51.43736154,0.449394476,51.44024659,0.460323905,50.41916614,0.450565199,51.33087198
8,0.447900741,51.29878395,0.447900508,51.29880567,0.456815142,50.47049459,0.472424743,49.02011493
9,0.457022505,50.35070987,0.457022755,50.35068661,0.456655785,50.38471605,0.456655785,50.38471605
10,0.459649844,50.24630146,0.459658162,50.245528,0.454843501,50.69323564,0.474101717,48.90244477
11,0.461628974,49.96502248,0.461626442,49.96525752,0.460778792,50.04392597,0.471953601,49.00681674
12,0.455081179,50.72682565,0.455137394,50.72159254,0.463146682,49.97600309,0.463146682,49.97600309
13,0.446972521,51.43533053,0.446975085,51.43509204,0.436491478,52.41013914,0.436491478,52.41013914
14,0.469908661,49.24091749,0.469916685,49.2401721,0.475476577,48.72370604,0.475654273,48.70719959
,,,,,,,,
,0.456219526,50.60332172,0.456227361,50.60259308,0.457681108,50.46706281,0.462347139,50.03319672
,0.007075823,0.694818932,0.007077224,0.694982503,0.009239294,0.873487348,0.010468476,1.003363249
