,0,1,2,3,4,5,6,7
0,-1.018121736,220.8035332,0.284351179,78.29943325,-0.902766834,208.1825057,0.319105512,74.49694734
1,-0.173099656,131.6302327,0.325785558,75.65171754,-0.251241488,140.3983092,0.31879509,76.43609845
2,-0.283548718,145.696836,0.303451673,79.06586325,-165145.9127,18745983.16,0.352518268,73.49626728
3,0.109167682,89.17150912,0.350490292,65.01533415,-770236447.1,77099971643,0.339441524,66.12130583
4,-2.846123876,428.5064805,0.168870226,92.59829003,-129501136.3,14428052339,0.270606485,81.26359377
5,0.208248173,83.20868523,0.3433159,69.01382317,-4446468015,4.67E+11,0.358383597,67.43029253
6,-1.445079359,253.5760731,0.314023778,71.14172228,-14803766549,1.54E+12,0.324273083,70.0787798
7,-1.247378777,247.2980013,-0.143920472,125.875197,-49288547.4,5423633806,-0.089631157,119.9012868
8,-0.012716211,105.0772273,0.262902192,76.47966241,0.336195741,68.87488344,0.432197813,58.91391765
9,-2.306433489,345.9473922,0.361284282,66.82790916,-177022287.3,18521588042,0.34480585,68.55202387
10,-0.590331865,171.0364423,0.273927562,78.08737876,-424269389.2,45629172548,0.314437074,73.73067627
11,-0.050129956,112.1024067,0.298841076,74.84940551,-3293078.172,351539444,0.375578259,66.65763566
12,-0.21725068,136.3336689,0.280106261,80.62904071,-29581098061,3.31E+12,0.343279195,73.55358943
13,-0.411179273,158.6867271,0.098102877,101.4180872,-5.17E+11,5.81E+13,0.176915702,92.5556064
14,-0.534318316,169.9273726,0.146000748,94.58131834,-4594045864,5.09E+11,0.325744789,74.67447614
15,-0.212601502,126.8064622,0.383317328,64.48890907,-8839105.461,924339791.6,0.397241195,63.03283606
16,-0.014949258,109.4021768,0.405440932,64.08798836,-26450074377,2.85E+12,0.390479031,65.70074349
17,-0.151698646,117.401521,0.34381231,66.89026951,-8388537960,8.55E+11,0.361884236,65.04805879
18,0.014134919,102.6885499,0.316821839,71.16042152,-244640371,25481950361,0.253589423,77.74676402
19,-0.48192939,157.200443,0.346426306,69.32993896,-0.085217182,115.1179151,0.396991768,63.96604442
20,-0.176919493,124.5321111,0.212909283,83.28357992,-1.31E+11,1.39E+13,0.322196962,71.71964072
21,-0.13563031,124.4732316,0.273850364,79.59121114,-506556988.3,55522281224,0.319461246,74.59193118
22,-21.70047681,2366.756323,0.272143351,75.8864821,-4237678365,4.42E+11,0.328481387,70.01266696
23,-0.95101082,205.9114728,0.137861329,90.99090669,-1.24E+12,1.31E+14,0.256410724,78.47909469
24,-0.878398982,205.4878521,0.050352154,103.8869261,-176150.2857,19270106.98,0.175783083,90.16538311
25,-0.042847468,112.7203054,0.291884001,76.53952668,0.038527029,103.9246201,0.291239427,76.60919807
26,0.214457065,82.78848174,0.386408467,64.666499,-2182085.85,229970443.8,0.380261903,65.31428627
27,-0.076158682,119.5189729,0.237775264,84.6532385,-122852.368,13644185.2,0.383811106,68.43439068
28,-0.505841763,163.3993264,0.254839265,80.8576075,-1850348.543,200781965.5,0.184703118,88.46810106
29,-0.026018493,108.7001068,0.387149355,64.92761196,-85109917.82,9016852352,0.377578962,65.94153389
30,0.029215682,105.9897191,0.34497183,71.51562965,0.134196662,94.52795121,0.383301762,67.33078791
31,0.00736324,106.5608171,0.242605431,81.30726913,-5.32E+11,5.71E+13,0.258385545,79.61325384
32,0.216031026,87.40794873,0.33263796,74.40695856,-4522399.625,504221181,0.302755252,77.73870546
33,0.213384678,84.65432721,0.282988261,77.16369703,-51.36947714,5635.922323,0.337476418,71.29976567
34,-0.178021628,122.1714431,0.438924333,58.18859544,-1.41E+11,1.46E+13,0.40504089,61.70261333
35,-0.060494833,111.226634,0.272097025,76.34379275,-511704942.9,53668548598,0.32613988,70.67567951
36,0.003508781,107.6906837,0.380172606,66.98467042,-48469615.06,5238105459,0.388831211,66.04893603
37,-0.905830212,207.6924269,-0.254203048,136.679791,-7846346.586,855074582.4,0.082145348,100.0254162
38,-0.296892101,134.5508183,0.175441422,85.54684795,-7386666703,7.66E+11,0.213673606,81.58031015
39,-9603.579958,1042871.772,0.191918099,87.74207804,-6913348.398,750656142.1,0.270823912,79.17443161
40,-0.387559726,150.4138719,0.406856467,64.29778391,-2.37E+11,2.57E+13,0.382718436,66.91438812
41,-0.123479853,127.3919267,0.125688127,99.13864827,0.095589036,102.5515989,0.274289114,82.28871014
42,-0.143005613,123.1477105,0.393158318,65.38127453,-12907196.17,1390624650,0.388578702,65.87468355
43,-0.025277502,115.6587974,0.366090169,71.50966302,-344648281.2,38878845726,0.34986466,73.34001905
44,0.006159658,106.5368919,0.371567998,67.36614475,-0.156777535,124.0033011,0.37301228,67.21132168
,,,,,,,,
,-214.2482009,23368.65902,0.267543104,78.98551432,-64559887919,6.93E+12,0.312524482,74.08693762
,1415.498644,153696.2395,0.134303652,15.4616222,2.11E+11,2.25E+13,0.093245201,10.88598194
