,0,1,2,3,4,5,6,7
0,0.42367731,53.67280011,0.45022785,51.20015442,0.388103854,56.98574795,0.457453243,50.5272552
1,0.427633201,53.23208576,0.463493341,49.89696916,0.432278982,52.80001209,0.458736668,50.33935609
2,0.436563823,52.45675896,0.46724408,49.60038075,0.432986487,52.78981434,0.467855164,49.54348786
3,0.420917775,53.83994137,0.450121056,51.12477786,0.431863075,52.82230639,0.451032388,51.0400471
4,0.453208519,50.87996937,0.463008722,49.96804223,0.44875313,51.29455168,0.462348376,50.0294886
5,0.442506986,51.91792889,0.462803328,50.02778129,0.440846774,52.07254026,0.464849961,49.83718351
6,0.417823198,54.23879031,0.459979433,50.31128382,0.40885109,55.0746812,0.457817155,50.5127335
7,0.429199048,53.21834918,0.456059632,50.71401567,0.440285057,52.1847505,0.453837027,50.92123923
8,0.403583375,55.50350762,0.460184484,50.23611567,0.408386183,55.05655037,0.466275956,49.66923336
9,0.420710018,53.91838594,0.45948656,50.30919429,0.409134978,54.99575213,0.450608188,51.13556363
10,0.426777196,53.37777973,0.457351441,50.53074483,0.421857623,53.83588409,0.459854443,50.29766846
11,0.429913638,53.0895833,0.463234355,49.98657448,0.422190894,53.80876777,0.467851039,49.55664347
12,0.389078108,56.83442421,0.451030964,51.07091341,0.400163269,55.80316516,0.458972658,50.33209295
13,0.432107766,52.95893329,0.455538134,50.77392839,0.443762874,51.87203331,0.463602367,50.02189632
14,0.447681559,51.34987489,0.465144044,49.72636141,0.454555717,50.71077405,0.468505073,49.41388147
,,,,,,,,
,0.426758768,53.36594086,0.458993828,50.36514918,0.425601333,53.47382209,0.46063998,50.21185138
